seed,gamma,h,L,N_code,epsilon,mode,total_resources,converged,final_error,n_rounds,timestamp
1,1.0000000000e-02,0.0000000000e+00,1,3,1.0000000000e-04,bare_hamiltonian,754029930,False,2.0945441723e+00,50000,2026-05-04T04:33:47.675341
1,1.0000000000e-02,0.0000000000e+00,1,3,1.1242100351e-04,bare_hamiltonian,666121107,False,2.0945441723e+00,50000,2026-05-04T04:34:41.394539
1,1.0000000000e-02,0.0000000000e+00,1,3,1.2638482029e-04,bare_hamiltonian,594445665,False,2.5414118767e+00,50000,2026-05-04T04:35:34.593460
1,1.0000000000e-02,0.0000000000e+00,1,3,1.4208308325e-04,bare_hamiltonian,528686178,False,2.5414118767e+00,50000,2026-05-04T04:36:27.411798
1,1.0000000000e-02,0.0000000000e+00,1,3,1.5973122801e-04,bare_hamiltonian,470952195,False,2.5414118767e+00,50000,2026-05-04T04:37:19.518275
1,1.0000000000e-02,0.0000000000e+00,1,3,1.7957144944e-04,bare_hamiltonian,419675136,False,2.5414118767e+00,50000,2026-05-04T04:38:10.888789
1,1.0000000000e-02,0.0000000000e+00,1,3,2.0187602547e-04,bare_hamiltonian,372035628,False,2.5414118767e+00,50000,2026-05-04T04:39:01.249437
1,1.0000000000e-02,0.0000000000e+00,1,3,2.2695105367e-04,bare_hamiltonian,331528953,False,2.5414118767e+00,50000,2026-05-04T04:39:50.160097
1,1.0000000000e-02,0.0000000000e+00,1,3,2.5514065200e-04,bare_hamiltonian,295660752,False,2.0945441723e+00,50000,2026-05-04T04:40:35.283144
1,1.0000000000e-02,0.0000000000e+00,1,3,2.8683168133e-04,bare_hamiltonian,262339305,False,2.5414118767e+00,50000,2026-05-04T04:41:19.518468
1,1.0000000000e-02,0.0000000000e+00,1,3,3.2245905453e-04,bare_hamiltonian,233114424,False,2.5414118767e+00,50000,2026-05-04T04:42:03.569766
1,1.0000000000e-02,0.0000000000e+00,1,3,3.6251170500e-04,bare_hamiltonian,471426,True,1.0907649994e-05,100,2026-05-04T04:42:03.661774
1,1.0000000000e-02,0.0000000000e+00,1,3,4.0753929659e-04,bare_hamiltonian,183431853,False,2.0945441723e+00,50000,2026-05-04T04:42:47.683080
1,1.0000000000e-02,0.0000000000e+00,1,3,4.5815976691e-04,bare_hamiltonian,163834170,False,2.0945441723e+00,50000,2026-05-04T04:43:31.479138
1,1.0000000000e-02,0.0000000000e+00,1,3,5.1506780762e-04,bare_hamiltonian,843660,True,1.0907649994e-05,300,2026-05-04T04:43:31.750177
1,1.0000000000e-02,0.0000000000e+00,1,3,5.7904439806e-04,bare_hamiltonian,129113211,False,2.5414118767e+00,50000,2026-05-04T04:44:15.401562
1,1.0000000000e-02,0.0000000000e+00,1,3,6.5096752305e-04,bare_hamiltonian,916425,True,1.0907649994e-05,400,2026-05-04T04:44:15.759935
1,1.0000000000e-02,0.0000000000e+00,1,3,7.3182422191e-04,bare_hamiltonian,399258,True,1.0907649994e-05,200,2026-05-04T04:44:15.939877
1,1.0000000000e-02,0.0000000000e+00,1,3,8.2272413417e-04,bare_hamiltonian,1453335,True,1.0907649994e-05,800,2026-05-04T04:44:16.665831
1,1.0000000000e-02,0.0000000000e+00,1,3,9.2491472772e-04,bare_hamiltonian,634617,True,1.0907649994e-05,400,2026-05-04T04:44:17.044332
