seed,gamma,h,sigma_epsilon,L,N_code,N_total,epsilon,mode,total_resources,converged,final_error,n_accepted,n_rejected,acceptance_rate,n_syndrome_used,mean_d,sum_F_obs,sum_M_sq,timestamp
4,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,1.0000000000e-04,combined_full_likelihood_cond_only,4719357,True,1.1026859283e-06,970,0,1.0000000000e+00,9,9.2783505155e-03,1.2378231530e+11,3.8295593100e+08,2026-05-04T13:20:21.134665
4,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,1.1242100351e-04,combined_full_likelihood_cond_only,453249,True,1.0907649994e-05,100,0,1.0000000000e+00,0,0.0000000000e+00,1.0720927692e+10,3.3089283000e+07,2026-05-04T13:20:21.200109
4,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,1.2638482029e-04,combined_full_likelihood_cond_only,5643720,True,1.1026859283e-06,1410,0,1.0000000000e+00,12,8.5106382979e-03,1.2038510647e+11,3.7228883200e+08,2026-05-04T13:20:21.702959
4,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,1.4208308325e-04,combined_full_likelihood_cond_only,1728396,True,1.1026859283e-06,470,0,1.0000000000e+00,1,2.1276595745e-03,3.3364709712e+10,1.0308812000e+08,2026-05-04T13:20:21.927210
4,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,1.5973122801e-04,combined_full_likelihood_cond_only,118962,True,3.4868717194e-05,40,0,1.0000000000e+00,0,0.0000000000e+00,1.8546233040e+09,5.7241460000e+06,2026-05-04T13:20:21.969642
4,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,1.7957144944e-04,combined_full_likelihood_cond_only,1119285,True,1.0907649994e-05,400,0,1.0000000000e+00,3,7.5000000000e-03,1.6573198268e+10,5.1184973000e+07,2026-05-04T13:20:22.130502
4,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,2.0187602547e-04,combined_full_likelihood_cond_only,67860,True,1.3083219528e-05,30,0,1.0000000000e+00,0,0.0000000000e+00,8.8345663200e+08,2.7267180000e+06,2026-05-04T13:20:22.169036
4,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,2.2695105367e-04,combined_full_likelihood_cond_only,109197,True,2.2888183594e-05,50,0,1.0000000000e+00,0,0.0000000000e+00,1.2054125160e+09,3.7204090000e+06,2026-05-04T13:20:22.210815
4,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,2.5514065200e-04,combined_full_likelihood_cond_only,4876740,True,1.0907649994e-05,2460,0,1.0000000000e+00,15,6.0975609756e-03,5.1505358368e+10,1.5923741600e+08,2026-05-04T13:20:22.955199
4,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,2.8683168133e-04,combined_full_likelihood_cond_only,101502,True,1.0907649994e-05,50,0,1.0000000000e+00,0,0.0000000000e+00,1.0476948240e+09,3.2336260000e+06,2026-05-04T13:20:22.998486
4,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,3.2245905453e-04,combined_full_likelihood_cond_only,323829,True,2.2888183594e-05,210,0,1.0000000000e+00,2,9.5238095238e-03,2.6622156640e+09,8.2217170000e+06,2026-05-04T13:20:23.087718
4,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,3.6251170500e-04,combined_full_likelihood_cond_only,59481,True,3.4868717194e-05,40,0,1.0000000000e+00,0,0.0000000000e+00,4.6785308400e+08,1.4439910000e+06,2026-05-04T13:20:23.124709
4,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,4.0753929659e-04,combined_full_likelihood_cond_only,91395,True,7.2985887527e-05,70,0,1.0000000000e+00,0,0.0000000000e+00,6.1711729200e+08,1.9046830000e+06,2026-05-04T13:20:23.170919
4,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,4.5815976691e-04,combined_full_likelihood_cond_only,1304703,True,1.3083219528e-05,1230,0,1.0000000000e+00,6,4.8780487805e-03,7.4159388920e+09,2.2911895000e+07,2026-05-04T13:20:23.668183
4,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,5.1506780762e-04,combined_full_likelihood_cond_only,2047482,True,1.0907649994e-05,2110,0,1.0000000000e+00,12,5.6872037915e-03,1.0590722720e+10,3.2729036000e+07,2026-05-04T13:20:24.381844
4,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,5.7904439806e-04,combined_full_likelihood_cond_only,209709,True,1.3083219528e-05,250,0,1.0000000000e+00,0,0.0000000000e+00,9.5421142800e+08,2.9450970000e+06,2026-05-04T13:20:24.496303
4,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,6.5096752305e-04,combined_full_likelihood_cond_only,95175,True,3.4868717194e-05,120,0,1.0000000000e+00,0,0.0000000000e+00,3.9738697200e+08,1.2265030000e+06,2026-05-04T13:20:24.555807
4,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,7.3182422191e-04,combined_full_likelihood_cond_only,745884,True,1.3083219528e-05,1100,0,1.0000000000e+00,5,4.5454545455e-03,2.7132282040e+09,8.3841800000e+06,2026-05-04T13:20:24.905898
4,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,8.2272413417e-04,combined_full_likelihood_cond_only,62946,True,1.3291835785e-04,100,0,1.0000000000e+00,0,0.0000000000e+00,2.1331836000e+08,6.5839000000e+05,2026-05-04T13:20:24.972151
4,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,9.2491472772e-04,combined_full_likelihood_cond_only,5571,True,8.2790851593e-05,10,0,1.0000000000e+00,0,0.0000000000e+00,1.6289748000e+07,5.0277000000e+04,2026-05-04T13:20:25.004897
4,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,1.0397984185e-03,combined_full_likelihood_cond_only,13374,True,1.0678172112e-04,30,0,1.0000000000e+00,0,0.0000000000e+00,3.2967000000e+07,1.0175000000e+05,2026-05-04T13:20:25.044499
4,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,1.1689518165e-03,combined_full_likelihood_cond_only,3870,True,6.6021084785e-04,10,0,1.0000000000e+00,1,1.0000000000e-01,7.6191880000e+06,2.4574000000e+04,2026-05-04T13:20:25.073411
4,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,1.3141473626e-03,combined_full_likelihood_cond_only,28818,True,1.2093782425e-04,70,0,1.0000000000e+00,0,0.0000000000e+00,5.8897368000e+07,1.8178200000e+05,2026-05-04T13:20:25.125884
4,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,1.4773776526e-03,combined_full_likelihood_cond_only,16083,True,2.0265579224e-04,50,0,1.0000000000e+00,0,0.0000000000e+00,2.8451412000e+07,8.7813000000e+04,2026-05-04T13:20:25.171946
4,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,1.6608827826e-03,combined_full_likelihood_cond_only,2439,True,6.2426924706e-04,10,0,1.0000000000e+00,0,0.0000000000e+00,3.9045240000e+06,1.2051000000e+04,2026-05-04T13:20:25.198843
