seed,gamma,h,sigma_epsilon,L,N_code,N_total,epsilon,mode,total_resources,converged,final_error,n_accepted,n_rejected,acceptance_rate,n_syndrome_used,mean_d,sum_F_obs,sum_M_sq,timestamp
10,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,1.0000000000e-04,combined_full_likelihood_marg_qt,250254783,False,1.0894834995e-03,50000,0,1.0000000000e+00,259,5.1800000000e-03,6.6705228135e+12,2.0609358951e+10,2026-05-04T23:48:43.568168
10,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,1.1242100351e-04,combined_full_likelihood_marg_qt,175369698,True,4.9024820328e-05,39660,0,1.0000000000e+00,199,5.0176500252e-03,4.1417217420e+12,1.2796388580e+10,2026-05-04T23:49:11.938409
10,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,1.2638482029e-04,combined_full_likelihood_marg_qt,1167579,True,4.9024820328e-05,280,0,1.0000000000e+00,2,7.1428571429e-03,2.5902475196e+10,8.0211313000e+07,2026-05-04T23:49:12.167862
10,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,1.4208308325e-04,combined_full_likelihood_marg_qt,176417469,False,1.1853575706e-03,50000,0,1.0000000000e+00,237,4.7800000000e-03,3.3154835423e+12,1.0243676077e+10,2026-05-04T23:49:47.387255
10,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,1.5973122801e-04,combined_full_likelihood_marg_qt,1655154,True,1.5470385551e-04,520,0,1.0000000000e+00,3,5.7692307692e-03,2.7929927972e+10,8.6229772000e+07,2026-05-04T23:49:47.786593
10,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,1.7957144944e-04,combined_full_likelihood_marg_qt,796707,True,2.2888183594e-05,280,0,1.0000000000e+00,1,3.5714285714e-03,1.2016472584e+10,3.7087939000e+07,2026-05-04T23:49:48.013583
10,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,2.0187602547e-04,combined_full_likelihood_marg_qt,248319,True,1.3083219528e-05,100,0,1.0000000000e+00,1,1.0000000000e-02,3.3404103280e+09,1.0340695000e+07,2026-05-04T23:49:48.111657
10,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,2.2695105367e-04,combined_full_likelihood_marg_qt,418131,True,2.5057792664e-04,200,0,1.0000000000e+00,1,5.0000000000e-03,4.8696338200e+09,1.5034583000e+07,2026-05-04T23:49:48.279073
10,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,2.5514065200e-04,combined_full_likelihood_marg_qt,773568,True,1.1026859283e-06,390,0,1.0000000000e+00,3,7.6923076923e-03,7.9117496360e+09,2.4488422000e+07,2026-05-04T23:49:48.581204
10,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,2.8683168133e-04,combined_full_likelihood_marg_qt,4973598,True,2.5057792664e-04,2870,0,1.0000000000e+00,16,5.5749128920e-03,4.6017027820e+10,1.4215773000e+08,2026-05-04T23:49:50.364409
10,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,3.2245905453e-04,combined_full_likelihood_marg_qt,836208,True,1.9064545631e-04,520,0,1.0000000000e+00,3,5.7692307692e-03,7.0905405760e+09,2.1904842000e+07,2026-05-04T23:49:50.758669
10,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,3.6251170500e-04,combined_full_likelihood_marg_qt,658188,True,5.8829784393e-05,480,0,1.0000000000e+00,4,8.3333333333e-03,4.8369336080e+09,1.4952628000e+07,2026-05-04T23:49:51.113352
10,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,4.0753929659e-04,combined_full_likelihood_marg_qt,1453059,True,4.5648217201e-04,1180,0,1.0000000000e+00,11,9.3220338983e-03,9.4983960320e+09,2.9374187000e+07,2026-05-04T23:49:51.862309
10,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,4.5815976691e-04,combined_full_likelihood_marg_qt,115290,True,2.6473402977e-04,100,0,1.0000000000e+00,1,1.0000000000e-02,6.9845046400e+08,2.1651440000e+06,2026-05-04T23:49:51.960774
10,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,5.1506780762e-04,combined_full_likelihood_marg_qt,669645,True,5.9813261032e-04,680,0,1.0000000000e+00,3,4.4117647059e-03,3.4742873560e+09,1.0739639000e+07,2026-05-04T23:49:52.403434
10,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,5.7904439806e-04,combined_full_likelihood_marg_qt,3378141,True,4.4232606888e-04,3900,0,1.0000000000e+00,16,4.1025641026e-03,1.5595132284e+10,4.8167623000e+07,2026-05-04T23:49:54.517428
10,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,6.5096752305e-04,combined_full_likelihood_marg_qt,1024938,True,6.7001581192e-04,1370,0,1.0000000000e+00,8,5.8394160584e-03,4.1112990160e+09,1.2708734000e+07,2026-05-04T23:49:55.293148
10,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,7.3182422191e-04,combined_full_likelihood_marg_qt,2087397,True,1.6668438911e-04,3020,0,1.0000000000e+00,9,2.9801324503e-03,7.6221945640e+09,2.3541517000e+07,2026-05-04T23:49:56.854559
10,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,8.2272413417e-04,combined_full_likelihood_marg_qt,65223,True,4.1836500168e-04,110,0,1.0000000000e+00,1,9.0909090909e-03,1.9812211200e+08,6.1436100000e+05,2026-05-04T23:49:56.948524
10,1.0000000000e-02,0.0000000000e+00,1.0000000000e-02,1,3,9,9.2491472772e-04,combined_full_likelihood_marg_qt,60588,True,7.2994828224e-04,110,0,1.0000000000e+00,1,9.0909090909e-03,1.7547638400e+08,5.4461600000e+05,2026-05-04T23:49:57.036238
