seed,gamma,h,L,N_code,epsilon,mode,total_resources,converged,final_error,n_accepted,n_rejected,acceptance_rate,n_syndrome_used,mean_d,timestamp
6,1.0000000000e-02,0.0000000000e+00,1,3,1.0000000000e-04,full_likelihood,748850499,False,2.5414118767e+00,50000,0,1.0000000000e+00,84,1.6800000000e-03,2026-03-24T19:30:18.591491
6,1.0000000000e-02,0.0000000000e+00,1,3,1.1242100351e-04,full_likelihood,667498236,False,2.5414118767e+00,50000,0,1.0000000000e+00,85,1.7000000000e-03,2026-03-24T19:30:35.430973
6,1.0000000000e-02,0.0000000000e+00,1,3,1.2638482029e-04,full_likelihood,595410540,False,2.5414118767e+00,50000,0,1.0000000000e+00,90,1.8000000000e-03,2026-03-24T19:30:49.213629
6,1.0000000000e-02,0.0000000000e+00,1,3,1.4208308325e-04,full_likelihood,509172,True,1.0907649994e-05,50,0,1.0000000000e+00,0,0.0000000000e+00,2026-03-24T19:30:49.240678
6,1.0000000000e-02,0.0000000000e+00,1,3,1.5973122801e-04,full_likelihood,469258737,False,2.5414118767e+00,50000,0,1.0000000000e+00,68,1.3600000000e-03,2026-03-24T19:31:03.264538
6,1.0000000000e-02,0.0000000000e+00,1,3,1.7957144944e-04,full_likelihood,418837761,False,2.5414118767e+00,50000,0,1.0000000000e+00,87,1.7400000000e-03,2026-03-24T19:31:17.198623
6,1.0000000000e-02,0.0000000000e+00,1,3,2.0187602547e-04,full_likelihood,371837577,False,2.5414118767e+00,50000,0,1.0000000000e+00,71,1.4200000000e-03,2026-03-24T19:31:29.673480
6,1.0000000000e-02,0.0000000000e+00,1,3,2.2695105367e-04,full_likelihood,329899242,False,2.5414118767e+00,50000,0,1.0000000000e+00,93,1.8600000000e-03,2026-03-24T19:31:40.784809
6,1.0000000000e-02,0.0000000000e+00,1,3,2.5514065200e-04,full_likelihood,2193069,True,1.0907649994e-05,360,0,1.0000000000e+00,2,5.5555555556e-03,2026-03-24T19:31:40.925683
6,1.0000000000e-02,0.0000000000e+00,1,3,2.8683168133e-04,full_likelihood,261691485,False,2.5414118767e+00,50000,0,1.0000000000e+00,79,1.5800000000e-03,2026-03-24T19:31:47.574719
6,1.0000000000e-02,0.0000000000e+00,1,3,3.2245905453e-04,full_likelihood,685302,True,1.0907649994e-05,150,0,1.0000000000e+00,0,0.0000000000e+00,2026-03-24T19:31:47.639484
6,1.0000000000e-02,0.0000000000e+00,1,3,3.6251170500e-04,full_likelihood,207739359,False,6.0018110275e-01,50000,0,1.0000000000e+00,85,1.7000000000e-03,2026-03-24T19:31:54.294289
6,1.0000000000e-02,0.0000000000e+00,1,3,4.0753929659e-04,full_likelihood,383247,True,1.0907649994e-05,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-03-24T19:31:54.340164
6,1.0000000000e-02,0.0000000000e+00,1,3,4.5815976691e-04,full_likelihood,90597,True,5.8829784393e-05,30,0,1.0000000000e+00,0,0.0000000000e+00,2026-03-24T19:31:54.359211
6,1.0000000000e-02,0.0000000000e+00,1,3,5.1506780762e-04,full_likelihood,206760,True,1.0907649994e-05,70,0,1.0000000000e+00,1,1.4285714286e-02,2026-03-24T19:31:54.393283
6,1.0000000000e-02,0.0000000000e+00,1,3,5.7904439806e-04,full_likelihood,125688,True,3.7044286728e-05,50,0,1.0000000000e+00,0,0.0000000000e+00,2026-03-24T19:31:54.420890
6,1.0000000000e-02,0.0000000000e+00,1,3,6.5096752305e-04,full_likelihood,164001,True,1.0907649994e-05,70,0,1.0000000000e+00,1,1.4285714286e-02,2026-03-24T19:31:54.455205
