seed,gamma,h,L,N_code,epsilon,mode,total_resources,converged,final_error,n_accepted,n_rejected,acceptance_rate,n_syndrome_used,mean_d,timestamp
2,1.0000000000e-02,0.0000000000e+00,1,3,1.0000000000e-04,error_detected,750234042,False,2.0945441723e+00,49914,86,9.9828000000e-01,0,0.0000000000e+00,2026-04-29T19:54:08.918663
2,1.0000000000e-02,0.0000000000e+00,1,3,1.1242100351e-04,error_detected,667956903,False,2.0945441723e+00,49917,83,9.9834000000e-01,0,0.0000000000e+00,2026-04-29T19:54:29.401239
2,1.0000000000e-02,0.0000000000e+00,1,3,1.2638482029e-04,error_detected,594512469,False,2.5414118767e+00,49915,85,9.9830000000e-01,0,0.0000000000e+00,2026-04-29T19:54:49.357172
2,1.0000000000e-02,0.0000000000e+00,1,3,1.4208308325e-04,error_detected,527872911,False,2.5414118767e+00,49930,70,9.9860000000e-01,0,0.0000000000e+00,2026-04-29T19:55:08.844989
2,1.0000000000e-02,0.0000000000e+00,1,3,1.5973122801e-04,error_detected,471013392,False,2.0945441723e+00,49924,76,9.9848000000e-01,0,0.0000000000e+00,2026-04-29T19:55:27.979952
2,1.0000000000e-02,0.0000000000e+00,1,3,1.7957144944e-04,error_detected,416491548,False,2.5414118767e+00,49926,74,9.9852000000e-01,0,0.0000000000e+00,2026-04-29T19:55:46.295617
2,1.0000000000e-02,0.0000000000e+00,1,3,2.0187602547e-04,error_detected,370194069,False,2.0945441723e+00,49929,71,9.9858000000e-01,0,0.0000000000e+00,2026-04-29T19:56:04.138258
2,1.0000000000e-02,0.0000000000e+00,1,3,2.2695105367e-04,error_detected,329580672,False,2.0945441723e+00,49918,82,9.9836000000e-01,0,0.0000000000e+00,2026-04-29T19:56:20.964363
2,1.0000000000e-02,0.0000000000e+00,1,3,2.5514065200e-04,error_detected,294459627,False,2.0945441723e+00,49915,85,9.9830000000e-01,0,0.0000000000e+00,2026-04-29T19:56:34.909951
2,1.0000000000e-02,0.0000000000e+00,1,3,2.8683168133e-04,error_detected,261211476,False,2.5414118767e+00,49908,92,9.9816000000e-01,0,0.0000000000e+00,2026-04-29T19:56:48.600535
2,1.0000000000e-02,0.0000000000e+00,1,3,3.2245905453e-04,error_detected,233024568,False,2.0945441723e+00,49923,77,9.9846000000e-01,0,0.0000000000e+00,2026-04-29T19:57:02.503348
2,1.0000000000e-02,0.0000000000e+00,1,3,3.6251170500e-04,error_detected,206709030,False,2.0945441723e+00,49918,82,9.9836000000e-01,0,0.0000000000e+00,2026-04-29T19:57:16.064123
2,1.0000000000e-02,0.0000000000e+00,1,3,4.0753929659e-04,error_detected,1501089,True,1.0907649994e-05,400,1,9.9750623441e-01,0,0.0000000000e+00,2026-04-29T19:57:16.251125
2,1.0000000000e-02,0.0000000000e+00,1,3,4.5815976691e-04,error_detected,351264,True,1.0907649994e-05,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:57:16.302815
2,1.0000000000e-02,0.0000000000e+00,1,3,5.1506780762e-04,error_detected,146340822,False,2.5414118767e+00,49942,58,9.9884000000e-01,0,0.0000000000e+00,2026-04-29T19:57:29.114261
2,1.0000000000e-02,0.0000000000e+00,1,3,5.7904439806e-04,error_detected,130070637,False,2.0945441723e+00,49915,85,9.9830000000e-01,0,0.0000000000e+00,2026-04-29T19:57:42.367116
2,1.0000000000e-02,0.0000000000e+00,1,3,6.5096752305e-04,error_detected,225936,True,1.0907649994e-05,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:57:42.420588
2,1.0000000000e-02,0.0000000000e+00,1,3,7.3182422191e-04,error_detected,102399159,False,2.5414118767e+00,49909,91,9.9818000000e-01,0,0.0000000000e+00,2026-04-29T19:57:55.326798
2,1.0000000000e-02,0.0000000000e+00,1,3,8.2272413417e-04,error_detected,90772710,False,2.5414118767e+00,49913,87,9.9826000000e-01,0,0.0000000000e+00,2026-04-29T19:58:08.330622
2,1.0000000000e-02,0.0000000000e+00,1,3,9.2491472772e-04,error_detected,156915,True,1.0907649994e-05,100,1,9.9009900990e-01,0,0.0000000000e+00,2026-04-29T19:58:08.383451
2,1.0000000000e-02,0.0000000000e+00,1,3,1.0397984185e-03,error_detected,747039,True,1.0907649994e-05,500,1,9.9800399202e-01,0,0.0000000000e+00,2026-04-29T19:58:08.605294
2,1.0000000000e-02,0.0000000000e+00,1,3,1.1689518165e-03,error_detected,63958002,False,2.5414118767e+00,49904,96,9.9808000000e-01,0,0.0000000000e+00,2026-04-29T19:58:21.711825
2,1.0000000000e-02,0.0000000000e+00,1,3,1.3141473626e-03,error_detected,108438,True,3.7044286728e-05,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:58:21.761554
2,1.0000000000e-02,0.0000000000e+00,1,3,1.4773776526e-03,error_detected,1009923,True,3.7044286728e-05,1000,1,9.9900099900e-01,0,0.0000000000e+00,2026-04-29T19:58:22.126538
2,1.0000000000e-02,0.0000000000e+00,1,3,1.6608827826e-03,error_detected,45160884,False,2.5414118767e+00,49901,99,9.9802000000e-01,0,0.0000000000e+00,2026-04-29T19:58:35.052811
2,1.0000000000e-02,0.0000000000e+00,1,3,1.8671810913e-03,error_detected,40310844,False,2.5414118767e+00,49933,67,9.9866000000e-01,0,0.0000000000e+00,2026-04-29T19:58:48.111590
