seed,gamma,sigma_epsilon,L,N_code,epsilon,mode,total_resources,converged,final_error,n_rounds,M_max_used,timestamp
1,0.0000000000e+00,0.0000000000e+00,1,3,1.0000000000e-04,sequential,737730,True,1.0882169114e-05,14,4535,2026-05-04T07:12:19.487456
1,0.0000000000e+00,0.0000000000e+00,1,3,1.1242100351e-04,sequential,737730,True,1.0882169114e-05,14,4034,2026-05-04T07:12:19.487653
1,0.0000000000e+00,0.0000000000e+00,1,3,1.2638482029e-04,sequential,737730,True,1.0882169114e-05,14,3588,2026-05-04T07:12:19.487806
1,0.0000000000e+00,0.0000000000e+00,1,3,1.4208308325e-04,sequential,737730,True,1.0882169114e-05,14,3192,2026-05-04T07:12:19.487952
1,0.0000000000e+00,0.0000000000e+00,1,3,1.5973122801e-04,sequential,737730,False,1.0940495283e-02,14,2839,2026-05-04T07:12:19.488096
1,0.0000000000e+00,0.0000000000e+00,1,3,1.7957144944e-04,sequential,737730,False,1.0940495283e-02,14,2526,2026-05-04T07:12:19.488243
1,0.0000000000e+00,0.0000000000e+00,1,3,2.0187602547e-04,sequential,369000,True,8.4991630129e-05,13,2247,2026-05-04T07:12:19.488373
1,0.0000000000e+00,0.0000000000e+00,1,3,2.2695105367e-04,sequential,369000,True,8.4991630129e-05,13,1999,2026-05-04T07:12:19.488496
1,0.0000000000e+00,0.0000000000e+00,1,3,2.5514065200e-04,sequential,369000,True,8.4991630129e-05,13,1778,2026-05-04T07:12:19.488615
1,0.0000000000e+00,0.0000000000e+00,1,3,2.8683168133e-04,sequential,369000,False,1.1036369082e-02,13,1581,2026-05-04T07:12:19.488731
1,0.0000000000e+00,0.0000000000e+00,1,3,3.2245905453e-04,sequential,369000,True,8.4991630129e-05,13,1407,2026-05-04T07:12:19.488847
1,0.0000000000e+00,0.0000000000e+00,1,3,3.6251170500e-04,sequential,369000,True,8.4991630129e-05,13,1251,2026-05-04T07:12:19.488964
1,0.0000000000e+00,0.0000000000e+00,1,3,4.0753929659e-04,sequential,184590,False,1.1228116681e-02,12,1113,2026-05-04T07:12:19.489075
1,0.0000000000e+00,0.0000000000e+00,1,3,4.5815976691e-04,sequential,184590,False,1.1228116681e-02,12,990,2026-05-04T07:12:19.489183
1,0.0000000000e+00,0.0000000000e+00,1,3,5.1506780762e-04,sequential,184590,False,1.1228116681e-02,12,881,2026-05-04T07:12:19.489291
1,0.0000000000e+00,0.0000000000e+00,1,3,5.7904439806e-04,sequential,184590,True,2.7673922861e-04,12,784,2026-05-04T07:12:19.489408
1,0.0000000000e+00,0.0000000000e+00,1,3,6.5096752305e-04,sequential,184590,True,2.7673922861e-04,12,697,2026-05-04T07:12:19.489531
1,0.0000000000e+00,0.0000000000e+00,1,3,7.3182422191e-04,sequential,184590,False,1.1228116681e-02,12,620,2026-05-04T07:12:19.489657
1,0.0000000000e+00,0.0000000000e+00,1,3,8.2272413417e-04,sequential,92340,True,1.0675596836e-04,11,552,2026-05-04T07:12:19.489770
1,0.0000000000e+00,0.0000000000e+00,1,3,9.2491472772e-04,sequential,92340,False,1.0844621484e-02,11,491,2026-05-04T07:12:19.489889
